Table_A,obj1,0.0
Table_A,obj2,0.020760721321412334
Table_A,obj3,0.0
Gap,obj1,0.15643103386999324
Gap,obj2,0.12596886897892795
Gap,obj3,0.0043124239152904425
Basic,obj1,0.037321498683159884
Basic,obj2,0.023948726626618157
Basic,obj3,0.03849704537852604
Falling_A,obj1,0.07160594998634186
Falling_A,obj2,0.1199065180634367
Falling_A,obj3,0.08129949436174828
Prevention_A,obj1,0.003471340276013885
Prevention_A,obj2,0.00017022656344992503
Prevention_A,obj3,0.007052159723915449
Prevention_B,obj1,0.017621886113516557
Prevention_B,obj2,0.001969084574972696
Prevention_B,obj3,0.0023934265576118505
Bridge,obj1,0.005350410145962944
Bridge,obj2,0.0005203632411722449
Bridge,obj3,1.3954332122407401e-05
Towers_A,obj1,0.07123113929586705
Towers_A,obj2,0.08249363597793806
Towers_A,obj3,0.06524236998420606
Table_B,obj1,0.0009441987449282721
Table_B,obj2,0.0017053812456557231
Table_B,obj3,0.0
UnSupport,obj1,0.038171033861401006
UnSupport,obj2,0.02484617638441254
UnSupport,obj3,0.02357374364955645
Shafts_B,obj1,0.0
Shafts_B,obj2,0.16992010026633245
Shafts_B,obj3,0.15483594252627064
Falling_B,obj1,8.481918367594226e-05
Falling_B,obj2,0.036539570650432555
Falling_B,obj3,1.710249525405757e-05
Catapult,obj1,0.0
Catapult,obj2,0.09203405030035104
Catapult,obj3,0.0
Towers_B,obj1,0.003301506158578796
Towers_B,obj2,0.021796898791471467
Towers_B,obj3,0.0003812922757810772
Launch_B,obj1,0.11139701760287028
Launch_B,obj2,0.09292654424955972
Launch_B,obj3,0.0
Shafts_A,obj1,0.20962973391524709
Shafts_A,obj2,0.3006583760058522
Shafts_A,obj3,0.21229176046825754
Chaining,obj1,0.04117342261548886
Chaining,obj2,0.009584170660071108
Chaining,obj3,0.0
SeeSaw,obj1,0.0001363794339813556
SeeSaw,obj2,0.001478205730003047
SeeSaw,obj3,0.0009978839514422542
Launch_A,obj1,9.910164360075912e-06
Launch_A,obj2,0.014211181864110889
Launch_A,obj3,3.333222225925803e-05
Unbox,obj1,0.6168766096932803
Unbox,obj2,0.3377848566527812
Unbox,obj3,0.31075206770532793
FridgeMagnet,obj1,0.0
FridgeMagnet,obj2,0.3224966969612043
FridgeMagnet,obj3,0.031076166024818143
